央视频道,#genre#
重庆卫视,http://101.66.199.194:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
东南卫视,http://198.204.228.26/live/dnwshd.m3u8$订阅源
东南卫视,http://198.204.240.250:82/live/dnws.m3u8$订阅源
东南卫视,http://221.197.236.192:17514/udp/225.1.2.235:5002$联通RTP
东南卫视,http://101.66.199.29:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
东南卫视,http://101.66.199.118:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
东南卫视,http://60.10.139.113:8801/hls/21/index.m3u8$订阅源
东南卫视,http://101.66.199.194:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
甘肃卫视,http://221.197.236.192:17514/udp/225.1.1.159:5002$联通RTP
广西卫视,http://198.204.228.26/live/gxwshd.m3u8$订阅源
广西卫视,http://221.197.236.192:17514/udp/225.1.2.81:5002$联通RTP
广西卫视,http://101.66.199.29:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
广西卫视,http://101.66.199.118:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
广西卫视,http://60.10.139.113:8801/hls/52/index.m3u8$订阅源
广西卫视,http://101.66.199.194:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
贵州卫视,http://221.197.236.192:17514/udp/225.1.2.28:5002$联通RTP
贵州卫视,http://101.66.199.29:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
贵州卫视,http://101.66.199.118:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
贵州卫视,http://60.10.139.113:8801/hls/36/index.m3u8$订阅源
贵州卫视,http://101.66.199.194:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
海南卫视,http://221.197.236.192:17514/udp/225.1.2.82:5002$联通RTP
河北卫视,http://221.197.236.192:17514/udp/225.1.2.27:5002$联通RTP
河北卫视,http://101.66.199.29:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
河北卫视,http://101.66.199.118:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
河北卫视,http://60.10.139.113:8801/hls/16/index.m3u8$订阅源
河北卫视,http://101.66.199.194:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
河南卫视,http://198.204.228.26/live/hawshd.m3u8$订阅源
河南卫视,http://221.197.236.192:17514/udp/225.1.2.61:5002$联通RTP
河南卫视,http://101.66.199.29:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
河南卫视,http://101.66.199.118:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
河南卫视,http://60.10.139.113:8801/hls/32/index.m3u8$订阅源
河南卫视,http://101.66.199.194:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
江苏卫视,http://198.204.228.26/live/jswshd.m3u8$订阅源
江苏卫视,http://221.197.236.192:17514/udp/225.1.1.126:5002$联通RTP
江苏卫视,http://101.66.199.29:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
江苏卫视,http://101.66.199.118:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
江苏卫视,http://60.10.139.113:8801/hls/19/index.m3u8$订阅源
江苏卫视,http://101.66.199.194:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
江西卫视,http://198.204.228.26/live/jxwshd.m3u8$订阅源
江西卫视,http://221.197.236.192:17514/udp/225.1.2.29:5002$联通RTP
江西卫视,http://101.66.199.29:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
江西卫视,http://101.66.199.118:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
江西卫视,http://60.10.139.113:8801/hls/37/index.m3u8$订阅源
江西卫视,http://101.66.199.194:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
黑龙江卫视,http://198.204.228.26/live/hljwshd.m3u8$订阅源
黑龙江卫视,http://221.197.236.192:17514/udp/225.1.1.115:5002$联通RTP
黑龙江卫视,http://101.66.199.29:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
黑龙江卫视,http://101.66.199.118:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
黑龙江卫视,http://60.10.139.113:8801/hls/27/index.m3u8$订阅源
黑龙江卫视,http://101.66.199.194:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
吉林卫视,http://198.204.228.26/live/jlwshd.m3u8$订阅源
吉林卫视,http://221.197.236.192:17514/udp/225.1.2.26:5002$联通RTP
吉林卫视,http://101.66.199.29:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
吉林卫视,http://101.66.199.118:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
吉林卫视,http://60.10.139.113:8801/hls/38/index.m3u8$订阅源
吉林卫视,http://101.66.199.194:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
辽宁卫视,http://198.204.228.26/live/lnwshd.m3u8$订阅源
辽宁卫视,http://221.197.236.192:17514/udp/225.1.1.154:5002$联通RTP
辽宁卫视,http://101.66.199.29:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
辽宁卫视,http://101.66.199.118:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
辽宁卫视,http://60.10.139.113:8801/hls/28/index.m3u8$订阅源
辽宁卫视,http://101.66.199.194:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
内蒙古卫视,http://198.204.228.26/live/nmgws.m3u8$订阅源
内蒙古卫视,http://221.197.236.192:17514/udp/225.1.1.165:5002$联通RTP
宁夏卫视,http://198.204.228.26/live/nxws.m3u8$订阅源
宁夏卫视,http://221.197.236.192:17514/udp/225.1.1.168:5002$联通RTP
宁夏卫视,http://101.66.199.29:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
宁夏卫视,http://101.66.199.118:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
宁夏卫视,http://101.66.199.194:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
青海卫视,http://198.204.228.26/live/qhws.m3u8$订阅源
青海卫视,http://221.197.236.192:17514/udp/225.1.1.251:5002$联通RTP
山东卫视,http://221.197.236.192:17514/udp/225.1.1.148:5002$联通RTP
山东卫视,http://112.123.243.37:50085/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
山东卫视,http://101.66.199.29:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
山东卫视,http://101.66.199.118:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
山东卫视,http://60.10.139.113:8801/hls/25/index.m3u8$订阅源
山东卫视,http://101.66.199.194:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
山西卫视,http://198.204.228.26/live/sxwshd.m3u8$订阅源
山西卫视,http://221.197.236.192:17514/udp/225.1.1.136:5002$联通RTP
山西卫视,http://101.66.199.29:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
山西卫视,http://101.66.199.118:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
山西卫视,http://101.66.199.194:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
陕西卫视,http://198.204.228.26/live/snwshd.m3u8$订阅源
陕西卫视,http://221.197.236.192:17514/udp/225.1.1.41:5002$联通RTP
陕西卫视,http://101.66.199.29:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
陕西卫视,http://101.66.199.118:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
陕西卫视,http://101.66.199.194:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
四川卫视,http://198.204.228.26/live/scwshd.m3u8$订阅源
四川卫视,http://221.197.236.192:17514/udp/225.1.1.123:5002$联通RTP
四川卫视,http://221.197.236.192:17514/udp/225.1.2.111:5002$联通RTP
四川卫视,http://101.66.199.29:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
四川卫视,http://101.66.199.118:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
四川卫视,http://60.10.139.113:8801/hls/30/index.m3u8$订阅源
四川卫视,http://101.66.199.194:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
深圳卫视,http://221.197.236.192:17514/udp/225.1.1.117:5002$联通RTP
深圳卫视,http://112.123.243.37:50085/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
深圳卫视,http://60.10.139.113:8801/hls/24/index.m3u8$订阅源
三沙卫视,http://198.204.228.26/live/ssws.m3u8$订阅源
三沙卫视,http://221.197.236.192:17514/udp/225.1.1.182:5002$联通RTP
西藏卫视,http://198.204.228.26/live/xzws.m3u8$订阅源
西藏卫视,http://221.197.236.192:17514/udp/225.1.1.167:5002$联通RTP
新疆卫视,http://198.204.228.26/live/xjws.m3u8$订阅源
新疆卫视,http://221.197.236.192:17514/udp/225.1.1.166:5002$联通RTP
兵团卫视,http://198.204.228.26/live/btws.m3u8$订阅源
兵团卫视,http://221.197.236.192:17514/udp/225.1.1.169:5002$联通RTP
云南卫视,http://198.204.228.26/live/ynwshd.m3u8$订阅源
云南卫视,http://221.197.236.192:17514/udp/225.1.1.250:5002$北京联通
云南卫视,http://101.66.199.29:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
云南卫视,http://101.66.199.118:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
云南卫视,http://101.66.199.194:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源

天津频道,#genre#
天津新闻,http://221.197.236.192:17514/udp/225.1.1.130:5002$联通RTP
